,AA,AS,BJ,CC,DR,FM,KE,LF,MA,MI,MP,PC,RR,TC,TM,ZZ
test,0,35,33,44,31,50,50,33,28,25,28,30,25,32,45,0
train,0,96,164,201,105,295,203,150,56,100,68,105,68,62,170,0
